datetime,year,month,day,hour,system:time_start,temp_c,wind_speed,pressure_kpa,solar_rad,precip,soil_moisture,ndvi,temp_c_lag1,precip_lag1,ndvi_lag1,soil_moisture_lag1,temp_c_lag4,soil_moisture_lag4,temp_c_roll24h,solar_rad_roll24h,soil_moisture_roll24h,precip_cum48h,sin_hour,cos_hour,sin_doy,cos_doy,predicted_et_mm,et_crop_adjusted_mm,effective_precip_mm,et_green_mm,et_blue_mm
1990-01-01 00:00:00,1990,1,1,0,631152000,12.169922298949981,3.899093057699979,99.70977198917244,0.007599383347751565,0.0,0.08,0.34150631541205256,12.169922298949981,0.0,0.34150631541205256,0.08,12.169922298949981,0.08,12.169922298949981,0.007599383347751565,0.08,0.0,0.0,1.0,0.017201575418260506,0.9998520419557735,2.3221154272950275,1.1610577136475138,0.0,0.0,1.1610577136475138
1990-01-01 06:00:00,1990,1,1,6,631173600,18.103073911468993,3.711809588287426,99.62852214661184,0.8555437506586011,0.0,0.08,0.3725231371923686,12.169922298949981,0.0,0.34150631541205256,0.08,12.169922298949981,0.08,15.136498105209487,0.43157156700317634,0.08,0.0,1.0,6.123233995736766e-17,0.017201575418260506,0.9998520419557735,2.9368354456371537,1.4684177228185769,0.0,0.0,1.4684177228185769
1990-01-01 12:00:00,1990,1,1,12,631195200,25.28046000268645,4.758426585412241,99.4138579555692,13.568208428086628,0.0,0.08,0.3349951429209846,18.103073911468993,0.0,0.3725231371923686,0.08,12.169922298949981,0.08,18.517818737701806,4.81045052069766,0.08,0.0,1.2246467991473532e-16,-1.0,0.017201575418260506,0.9998520419557735,5.085248242547832,2.542624121273916,0.0,0.0,2.542624121273916
1990-01-01 18:00:00,1990,1,1,18,631216800,17.35961607368621,4.823847901263005,99.41497023469726,0.6209188731307261,0.0,0.08,0.3510552234408822,25.28046000268645,0.0,0.3349951429209846,0.08,12.169922298949981,0.08,18.228268071697908,3.763067608805927,0.08,0.0,-1.0,-1.8369701987210297e-16,0.017201575418260506,0.9998520419557735,2.8984574353991164,1.4492287176995582,0.0,0.0,1.4492287176995582
1990-01-02 00:00:00,1990,1,2,0,631238400,11.878555392359306,3.859086902050706,99.73811676806554,0.10296780415690443,0.0,0.08,0.2860426639505459,17.35961607368621,0.0,0.3510552234408822,0.08,12.169922298949981,0.08,18.155426345050238,3.7869097140082153,0.08,0.0,0.0,1.0,0.03439806061360801,0.9994082116062598,2.2419661718360113,1.1209830859180057,0.0,0.0,1.1209830859180057
1990-01-02 06:00:00,1990,1,2,6,631260000,19.770982174204423,10.224015370251648,99.56176799062017,0.15100420489397726,0.0,0.08,0.274985368710417,11.878555392359306,0.0,0.2860426639505459,0.08,18.103073911468993,0.08,18.572403410734097,3.610774827567059,0.08,0.0,1.0,6.123233995736766e-17,0.03439806061360801,0.9994082116062598,3.0865953940342585,1.5432976970171293,0.0,0.0,1.5432976970171293
1990-01-02 12:00:00,1990,1,2,12,631281600,22.299671117309277,4.314978274349939,98.75324923459277,13.762189453316676,0.0,0.08,0.3090351393615134,19.770982174204423,0.0,0.274985368710417,0.08,25.28046000268645,0.08,17.827206189389806,3.659270083874571,0.08,0.0,1.2246467991473532e-16,-1.0,0.03439806061360801,0.9994082116062598,4.722699369607524,2.361349684803762,0.0,0.0,2.361349684803762
1990-01-02 18:00:00,1990,1,2,18,631303200,16.100779378902665,4.846019848706135,99.33751356561551,0.6013164749287445,0.0,0.08,0.3360809521314781,22.299671117309277,0.0,0.3090351393615134,0.08,17.35961607368621,0.08,17.512497015693917,3.6543694843240755,0.08,0.0,-1.0,-1.8369701987210297e-16,0.03439806061360801,0.9994082116062598,2.779844415046583,1.3899222075232915,0.0,0.0,1.3899222075232915
1990-01-03 00:00:00,1990,1,3,0,631324800,12.342192386324603,8.754239989074826,99.52337738677441,0.24985413562795677,0.0,0.08,0.33145212925496553,16.100779378902665,0.0,0.3360809521314781,0.08,11.878555392359306,0.08,17.62840626418524,3.691091067191839,0.08,0.0,0.0,1.0,0.051584366869408364,0.9986686402879997,2.5915150347015525,1.2957575173507763,0.0,0.0,1.2957575173507763
1990-01-03 06:00:00,1990,1,3,6,631346400,17.186576759649142,3.96252449054871,99.42488499255606,0.3234515655953276,0.0,0.08,0.3057931668359589,12.342192386324603,0.0,0.33145212925496553,0.08,19.770982174204423,0.08,16.982304910546425,3.7342029073671763,0.08,0.0,1.0,6.123233995736766e-17,0.051584366869408364,0.9986686402879997,2.7229497099291846,1.3614748549645923,0.0,0.0,1.3614748549645923
1990-01-03 12:00:00,1990,1,3,12,631368000,25.864714262519115,5.233474681648469,99.308072601536,13.432644443921426,0.0,0.08,0.33265141387993763,17.186576759649142,0.0,0.3057931668359589,0.08,22.299671117309277,0.08,17.873565696848882,3.6518166550183637,0.08,0.0,1.2246467991473532e-16,-1.0,0.051584366869408364,0.9986686402879997,5.076734657874871,2.5383673289374356,0.0,0.0,2.5383673289374356
1990-01-03 18:00:00,1990,1,3,18,631389600,15.167120637700544,5.011372504306314,99.14742738412868,0.5848931183305761,0.0,0.08,0.3154780465071029,25.864714262519115,0.0,0.33265141387993763,0.08,16.100779378902665,0.08,17.64015101154835,3.647710815868822,0.08,0.0,-1.0,-1.8369701987210297e-16,0.051584366869408364,0.9986686402879997,2.6730817043388324,1.3365408521694162,0.0,0.0,1.3365408521694162
1990-01-04 00:00:00,1990,1,4,0,631411200,11.497231740700242,6.210874919067091,99.92782368513437,0.28756313873640926,0.0,0.08,0.31015026867888584,15.167120637700544,0.0,0.3154780465071029,0.08,12.342192386324603,0.08,17.42891085014226,3.6571380666459348,0.08,0.0,0.0,1.0,0.06875540848113941,0.9976335468520451,2.362855960015884,1.181427980007942,0.0,0.0,1.181427980007942
1990-01-04 06:00:00,1990,1,4,6,631432800,22.413514340826204,6.541921014354418,99.23106505698266,0.32318607854890913,0.0,0.08,0.2908272790520816,11.497231740700242,0.0,0.31015026867888584,0.08,17.186576759649142,0.08,18.735645245436526,3.65707169488433,0.08,0.0,1.0,6.123233995736766e-17,0.06875540848113941,0.9976335468520451,3.1539852988691095,1.5769926494345547,0.0,0.0,1.5769926494345547
1990-01-04 12:00:00,1990,1,4,12,631454400,23.072699825110817,4.172188211960875,99.87489129828597,13.794578537168713,0.0,0.08,0.30232412757347193,22.413514340826204,0.0,0.2908272790520816,0.08,25.864714262519115,0.08,18.03764163608445,3.747555218196152,0.08,0.0,1.2246467991473532e-16,-1.0,0.06875540848113941,0.9976335468520451,4.732286116883492,2.366143058441746,0.0,0.0,2.366143058441746
1990-01-04 18:00:00,1990,1,4,18,631476000,19.944898018907317,4.666394871428189,99.96175753239329,0.7470773666475465,0.0,0.08,0.29474917549247387,23.072699825110817,0.0,0.30232412757347193,0.08,15.167120637700544,0.08,19.232085981386145,3.7881012802753946,0.08,0.0,-1.0,-1.8369701987210297e-16,0.06875540848113941,0.9976335468520451,2.9669473802977064,1.4834736901488532,0.0,0.0,1.4834736901488532
