datetime,year,month,day,hour,system:time_start,region,temp_c,wind_speed,pressure_kpa,solar_rad,precip,soil_moisture,ndvi,modis_et_mm
2023-01-01 00:00:00,2023,1,1,0,1672531200,nile_delta,7.6136808538782486,5.7928817146092015,101.36611772519822,0.6220009209886036,0.0,0.07674132748708679,0.19313377299192852,1.9332599353774658
2023-01-01 06:00:00,2023,1,1,6,1672552800,nile_delta,17.584395075386002,4.695134729904495,101.67513052616295,0.07096468024620935,0.0,0.06744199403813737,0.2257127236047234,2.50874488295928
2023-01-01 12:00:00,2023,1,1,12,1672574400,nile_delta,24.283786998649198,8.12927467179955,101.25379501724211,18.461215340847545,0.0,0.09077776354590798,0.20091459586271795,6.143093808265293
2023-01-01 18:00:00,2023,1,1,18,1672596000,nile_delta,16.798762996428174,4.2902976321727415,101.11279866977563,0.20905671375443113,0.0,0.06451928604972368,0.17364255376148283,2.5924460129335345
2023-01-02 00:00:00,2023,1,2,0,1672617600,nile_delta,7.7839604737248465,5.558078216124143,101.45502645793859,0.7395339518874524,0.0,0.10055708928920822,0.22162790595385481,1.8962495344263537
2023-01-02 06:00:00,2023,1,2,6,1672639200,nile_delta,14.881991986831716,8.086263843831764,101.26702711990924,0.18697284108508533,0.0,0.0899176682624227,0.21484003164207055,2.7243019613157644
2023-01-02 12:00:00,2023,1,2,12,1672660800,nile_delta,22.322155336874392,3.934930860506559,101.14040157275436,18.2267040099513,0.0,0.09062251718098495,0.21352073434623264,5.847843379454444
2023-01-02 18:00:00,2023,1,2,18,1672682400,nile_delta,15.856317084551305,5.187290425759716,101.82464320779637,0.36073204325031444,0.0,0.06669000982393632,0.21814706614795099,2.317273545465134
2023-01-03 00:00:00,2023,1,3,0,1672704000,nile_delta,10.469726462351062,4.096054609923784,101.62911849349042,0.5380538662860606,0.0,0.08580503074110019,0.23216053489982627,2.1601518218229
2023-01-03 06:00:00,2023,1,3,6,1672725600,nile_delta,18.038515664139325,4.088937480151515,101.51548048550026,0.5518652811526583,0.0,0.0698136013381445,0.2150244917105278,2.81963501175747
2023-01-03 12:00:00,2023,1,3,12,1672747200,nile_delta,23.637278786966288,4.2787274997100235,101.45853666245446,18.624221275700872,0.0,0.07751913550711116,0.2043658705940529,5.67868419342301
2023-01-03 18:00:00,2023,1,3,18,1672768800,nile_delta,15.17760454517531,5.762664173684566,101.68960494909817,0.255969209751414,0.0,0.0796563705358542,0.2054175620683024,2.747221551298664
2023-01-04 00:00:00,2023,1,4,0,1672790400,nile_delta,10.650712246998149,5.2744378650224935,101.73214570146757,0.020872686624928073,0.0,0.06986651644723894,0.21445174704917674,1.754303952856191
2023-01-04 06:00:00,2023,1,4,6,1672812000,nile_delta,15.035124173829455,5.733156830313862,101.29504238320699,0.5261765916125835,0.0,0.0814901477015126,0.1787460075099776,2.3226656477744347
2023-01-04 12:00:00,2023,1,4,12,1672833600,nile_delta,22.10766219912873,3.8783460365205733,101.41433178333831,18.844477776761455,0.0,0.06908933994191352,0.19197870690233013,5.225166990201656
2023-01-04 18:00:00,2023,1,4,18,1672855200,nile_delta,15.63927811681182,4.222820329355093,101.44842551096528,0.25412041884083875,0.0,0.06,0.17744421501254273,2.3421292449139033
2023-01-05 00:00:00,2023,1,5,0,1672876800,nile_delta,10.076216474207897,4.772929923566283,101.66091810784525,0.12131547556419396,0.0,0.07742067399744992,0.2332772542185736,2.0210047151267814
2023-01-05 06:00:00,2023,1,5,6,1672898400,nile_delta,16.412204480860193,4.845345455484289,101.43965074948873,0.24091375137656856,0.0,0.0644874570743176,0.16466362456427197,2.410653491336658
2023-01-05 12:00:00,2023,1,5,12,1672920000,nile_delta,23.87032691822057,5.004567778569761,101.55922423425157,18.585856640486643,0.0,0.07089947870081334,0.15937481527242542,5.661911822290619
2023-01-05 18:00:00,2023,1,5,18,1672941600,nile_delta,13.01934963198317,4.619035762300235,101.46505185342792,0.6142458751274871,0.0,0.06062136311894387,0.22313023204717783,2.230824009167604
2023-01-06 00:00:00,2023,1,6,0,1672963200,nile_delta,9.055386221719228,4.605092690004291,101.6732048746538,0.544482663450158,0.0,0.0658303636796948,0.1929634730694511,1.9236262366469785
2023-01-06 06:00:00,2023,1,6,6,1672984800,nile_delta,15.28332917451198,7.019282388680555,101.63942681149132,0.451819822003374,0.0,0.06805703638314868,0.19984732146527012,2.527957104360758
2023-01-06 12:00:00,2023,1,6,12,1673006400,nile_delta,24.392028139781814,5.25908786998888,101.39835527112801,18.86223646430741,7.683142246318283,0.06,0.1808255165786098,6.2771475566235235
2023-01-06 18:00:00,2023,1,6,18,1673028000,nile_delta,17.520093044876052,4.959274678728937,101.33196370302987,0.614702039804774,0.0,0.07797361420412596,0.2224261737752849,2.586085239846961
2023-01-07 00:00:00,2023,1,7,0,1673049600,nile_delta,10.38359033153682,4.002522099678364,101.30263824897062,0.16008338502903785,0.0,0.06862846613444988,0.18602422767528623,1.760800677505363
2023-01-07 06:00:00,2023,1,7,6,1673071200,nile_delta,16.824444406581275,5.651521647454723,101.82156099598038,0.5874969310921484,0.0,0.07420576877524378,0.19422041718002542,2.7213092854812273
2023-01-07 12:00:00,2023,1,7,12,1673092800,nile_delta,20.93700130221055,5.778622639444588,102.01316426694375,18.388552431117997,0.0,0.09581067227684381,0.1694031090479032,5.4699681346126034
2023-01-07 18:00:00,2023,1,7,18,1673114400,nile_delta,17.210752227995826,11.046088074722203,101.71981620528472,0.7891756542642454,0.0,0.09699004062871297,0.1909535002846154,3.1644550993387184
2023-01-08 00:00:00,2023,1,8,0,1673136000,nile_delta,10.727669753750508,4.226910438650417,101.15349919358512,0.22610759100585273,0.0,0.07817482640964193,0.22781312371595117,2.4346860123024006
2023-01-08 06:00:00,2023,1,8,6,1673157600,nile_delta,14.613425346160424,5.1057291552868564,101.35521450806338,0.05607017184638501,0.0,0.07550171254246989,0.2223590305402613,2.442189191212649
2023-01-08 12:00:00,2023,1,8,12,1673179200,nile_delta,21.964442643591426,4.635646129113085,101.33020511178623,18.70924821938103,0.0,0.09472567390507731,0.1786464268019369,5.467919561151239
2023-01-08 18:00:00,2023,1,8,18,1673200800,nile_delta,15.677540835182743,5.047759014411323,101.43404692550581,0.5005672524473334,0.0,0.07767579560555833,0.2501246134834567,2.7154903969502224
2023-01-09 00:00:00,2023,1,9,0,1673222400,nile_delta,8.875044844611432,5.344506602196078,101.06281684986965,0.6078013087966229,0.0,0.07781526122255676,0.17990819736185712,1.9365088332418205
2023-01-09 06:00:00,2023,1,9,6,1673244000,nile_delta,17.673203408433945,5.500933321428014,101.27390906922906,0.6466432840199464,0.0,0.06,0.22435505936113342,2.869479839321278
2023-01-09 12:00:00,2023,1,9,12,1673265600,nile_delta,24.059742855574886,4.418966983976684,101.82325807218717,19.001946945518096,0.0,0.0702106506958485,0.17137258640573919,5.494393574840832
2023-01-09 18:00:00,2023,1,9,18,1673287200,nile_delta,16.864260517733403,5.494217267323224,101.61497962689981,0.6106677932705731,0.0,0.06896633089963282,0.18629160118118712,2.4723632137344023
2023-01-10 00:00:00,2023,1,10,0,1673308800,nile_delta,10.142936170966156,4.265845650469499,101.5037870317273,0.6829720368462733,0.0,0.06,0.23859590298633082,1.8928942391980283
