datetime,year,month,day,hour,et_actual_mm,et_crop_adjusted_mm,effective_precip_mm,et_green_mm,et_blue_mm
2020-01-02 00:00:00,2020,1,2,0,1.3630239901660093,0.6815119950830046,0.0,0.0,0.6815119950830046
2020-01-02 06:00:00,2020,1,2,6,1.9819130665954117,0.9909565332977058,0.0,0.0,0.9909565332977058
2020-01-02 12:00:00,2020,1,2,12,3.3913534050767318,1.6956767025383659,0.0,0.0,1.6956767025383659
2020-01-02 18:00:00,2020,1,2,18,1.8057368779617684,0.9028684389808842,0.0,0.0,0.9028684389808842
2020-01-03 00:00:00,2020,1,3,0,1.7680789874422067,0.8840394937211034,0.0,0.0,0.8840394937211034
2020-01-03 06:00:00,2020,1,3,6,1.6938244000061469,0.8469122000030734,0.0,0.0,0.8469122000030734
2020-01-03 12:00:00,2020,1,3,12,3.658219455620528,1.829109727810264,10.81213287085835,1.829109727810264,0.0
2020-01-03 18:00:00,2020,1,3,18,1.7371287571607346,0.8685643785803673,0.0,0.0,0.8685643785803673
2020-01-04 00:00:00,2020,1,4,0,1.7302287403147307,0.8651143701573654,0.0,0.0,0.8651143701573654
2020-01-04 06:00:00,2020,1,4,6,1.8392640098517588,0.9196320049258794,0.0,0.0,0.9196320049258794
2020-01-04 12:00:00,2020,1,4,12,3.212473506374266,1.606236753187133,0.0,0.0,1.606236753187133
2020-01-04 18:00:00,2020,1,4,18,1.7065859005574076,0.8532929502787038,0.0,0.0,0.8532929502787038
2020-01-05 00:00:00,2020,1,5,0,2.0364928907615525,1.0182464453807762,10.163460039944598,1.0182464453807762,0.0
2020-01-05 06:00:00,2020,1,5,6,1.5288797756029218,0.7644398878014609,0.0,0.0,0.7644398878014609
2020-01-05 12:00:00,2020,1,5,12,3.2211420351698705,1.6105710175849353,0.0,0.0,1.6105710175849353
2020-01-05 18:00:00,2020,1,5,18,1.542628301469659,0.7713141507348295,0.0,0.0,0.7713141507348295
2020-01-06 00:00:00,2020,1,6,0,1.8493527144167148,0.9246763572083574,0.0,0.0,0.9246763572083574
2020-01-06 06:00:00,2020,1,6,6,1.5014802269680736,0.7507401134840368,0.0,0.0,0.7507401134840368
2020-01-06 12:00:00,2020,1,6,12,3.2440395248269507,1.6220197624134753,0.0,0.0,1.6220197624134753
2020-01-06 18:00:00,2020,1,6,18,1.6709649457682003,0.8354824728841002,0.0,0.0,0.8354824728841002
2020-01-07 00:00:00,2020,1,7,0,1.5456562250288903,0.7728281125144452,0.0,0.0,0.7728281125144452
