datetime,year,month,day,hour,system:time_start,temp_c,wind_speed,pressure_kpa,solar_rad,precip,soil_moisture,ndvi,modis_et_mm
2000-01-01 00:00:00,2000,1,1,0,946684800,13.922284497471594,5.9405092625863745,99.22752498516503,0.4445735010694285,0.0,0.08,0.39792442665356664,2.498244867474932
2000-01-01 06:00:00,2000,1,1,6,946706400,17.96981681619797,3.868121326126098,99.95563701630165,0.7423699370897818,0.0,0.08,0.28568510055051133,2.9441411902856567
2000-01-01 12:00:00,2000,1,1,12,946728000,24.148746075105784,4.740627902755175,99.6530894657674,13.32598545056045,0.0,0.08,0.36759930798509577,5.093304368553475
2000-01-01 18:00:00,2000,1,1,18,946749600,20.461758052566783,5.506980558085956,99.80902601489633,0.05845798723687861,0.0,0.08,0.3486175498866716,2.876020030798522
2000-01-02 00:00:00,2000,1,2,0,946771200,12.85596629653563,4.987244673181268,99.30205703458405,0.29992939747306624,0.0,0.08,0.3085289824293344,2.380293333376318
2000-01-02 06:00:00,2000,1,2,6,946792800,17.855990923196863,3.8640605183842935,99.75576496885968,0.47430866486843026,0.0,0.08,0.3717942877915363,2.912334481789088
2000-01-02 12:00:00,2000,1,2,12,946814400,25.576015581881723,4.210284473218604,99.1718272306211,13.28332758830677,0.0,0.08,0.26747142889663184,5.100389896211965
2000-01-02 18:00:00,2000,1,2,18,946836000,19.358348452349997,5.8489024797751,99.76648165099066,0.3547972896563903,0.0,0.08,0.30726173254931577,2.829180826252769
2000-01-03 00:00:00,2000,1,3,0,946857600,12.535277046285515,4.789346003629145,99.55021861822654,0.3999830182935685,0.0,0.08,0.28065767143590803,2.259542603384426
2000-01-03 06:00:00,2000,1,3,6,946879200,19.05332869056689,3.585294504586248,99.66464218228391,0.05739184368827355,0.0,0.08,0.3292746415101241,2.3863907244883142
2000-01-03 12:00:00,2000,1,3,12,946900800,22.544362085969247,5.724309101076316,99.14598843460102,13.717715562017895,0.0,0.08112464056603436,0.28352021452836496,5.116141946583268
2000-01-03 18:00:00,2000,1,3,18,946922400,17.540893994832558,3.631354316802212,99.2301458636055,0.8843434279712891,0.0,0.08,0.32990405596621986,2.6216269380948054
2000-01-04 00:00:00,2000,1,4,0,946944000,13.637023906110214,5.6572638322330455,99.6767987707826,0.15174291295305242,0.0,0.08,0.30532625503276006,2.5407320640845708
2000-01-04 06:00:00,2000,1,4,6,946965600,15.404160131774464,3.942577243181288,99.21312590403933,0.597808013401514,0.0,0.08,0.2965387292277242,2.542263891434141
2000-01-04 12:00:00,2000,1,4,12,946987200,20.68670374999161,8.36095871954316,99.63659219293632,13.819690076288817,0.0,0.08,0.322578764888406,4.838193763995491
2000-01-04 18:00:00,2000,1,4,18,947008800,17.4306492048997,4.291361852137885,99.08748896336851,0.41933468041928995,0.0,0.08,0.30286069878926475,2.8984643345965218
2000-01-05 00:00:00,2000,1,5,0,947030400,11.791715048519956,4.222809714561205,99.75075043873461,0.70109758736427,0.0,0.08,0.27227909259982536,2.5735596236536598
2000-01-05 06:00:00,2000,1,5,6,947052000,18.782332727914504,3.8707646106088482,99.12654118050406,0.41073154349101204,0.0,0.08,0.3889793275806459,3.0881596869225376
